Device	IP Address	MAC Address	Interface
sjoc-core-c4k-2	10.112.8.72	e839.358e.47f7	Vlan252
sjoc-core-c4k-1	10.112.8.73	80c1.6e96.3c5e	Vlan252
sjoc-core-c4k-2	10.112.8.73	80c1.6e96.3c5e	Vlan252
sjoc-core-c4k-1	10.112.8.74	082e.5fbc.be58	Vlan252
sjoc-core-c4k-2	10.112.8.74	082e.5fbc.be58	Vlan252
sjoc-core-c4k-1	10.112.8.75	2c41.3883.ebeb	Vlan252
sjoc-core-c4k-2	10.112.8.75	2c41.3883.ebeb	Vlan252
sjoc-core-c4k-1	10.112.8.76	e839.358e.47f8	Vlan252
sjoc-core-c4k-2	10.112.8.76	e839.358e.47f8	Vlan252
sjoc-core-c4k-1	10.112.8.77	0007.4d5d.8733	Vlan252
sjoc-core-c4k-2	10.112.8.77	0007.4d5d.8733	Vlan252
sjoc-core-c4k-1	10.112.8.78	082e.5fbc.ce27	Vlan252
sjoc-core-c4k-2	10.112.8.78	082e.5fbc.ce27	Vlan252
sjoc-core-c4k-1	10.112.8.79	2c41.3883.eb42	Vlan252
sjoc-core-c4k-2	10.112.8.79	2c41.3883.eb42	Vlan252
sjoc-core-c4k-1	10.112.8.8	ec8e.b5c0.e8a8	Vlan252
sjoc-core-c4k-2	10.112.8.8	ec8e.b5c0.e8a8	Vlan252
sjoc-core-c4k-1	10.112.8.80	ec9a.7430.d7f4	Vlan252
sjoc-core-c4k-2	10.112.8.80	ec9a.7430.d7f4	Vlan252
sjoc-core-c4k-1	10.112.8.81	009c.0207.50f8	Vlan252
sjoc-core-c4k-2	10.112.8.81	009c.0207.50f8	Vlan252
sjoc-core-c4k-1	10.112.8.82	2c41.3883.eb89	Vlan252
sjoc-core-c4k-2	10.112.8.82	2c41.3883.eb89	Vlan252
sjoc-core-c4k-1	10.112.8.83	2c41.3883.eb48	Vlan252
sjoc-core-c4k-2	10.112.8.83	2c41.3883.eb48	Vlan252
sjoc-core-c4k-1	10.112.8.84	80c1.6e95.a210	Vlan252
sjoc-core-c4k-2	10.112.8.84	80c1.6e95.a210	Vlan252
sjoc-core-c4k-1	10.112.8.85	0007.4d22.680d	Vlan252
sjoc-core-c4k-2	10.112.8.85	0007.4d22.680d	Vlan252
sjoc-core-c4k-1	10.112.8.86	5838.791d.9f22	Vlan252
sjoc-core-c4k-2	10.112.8.86	5838.791d.9f22	Vlan252
sjoc-core-c4k-1	10.112.8.87	5838.791f.44cc	Vlan252
sjoc-core-c4k-2	10.112.8.87	5838.791f.44cc	Vlan252
sjoc-core-c4k-1	10.112.8.88	5838.791c.4f83	Vlan252
sjoc-core-c4k-2	10.112.8.88	5838.791c.4f83	Vlan252
sjoc-core-c4k-1	10.112.8.89	5838.791d.24d5	Vlan252
sjoc-core-c4k-2	10.112.8.89	5838.791d.24d5	Vlan252
sjoc-core-c4k-1	10.112.8.9	30e1.713a.87cd	Vlan252
sjoc-core-c4k-2	10.112.8.9	30e1.713a.87cd	Vlan252
sjoc-core-c4k-1	10.112.8.90	80c1.6e95.67c5	Vlan252
sjoc-core-c4k-2	10.112.8.90	80c1.6e95.67c5	Vlan252
sjoc-core-c4k-1	10.112.8.91	80c1.6e95.c232	Vlan252
sjoc-core-c4k-2	10.112.8.91	80c1.6e95.c232	Vlan252
sjoc-core-c4k-1	10.112.8.93	2c41.3883.eb74	Vlan252
sjoc-core-c4k-2	10.112.8.93	2c41.3883.eb74	Vlan252
sjoc-core-c4k-1	10.112.8.94	082e.5fbc.deaf	Vlan252
sjoc-core-c4k-2	10.112.8.94	082e.5fbc.deaf	Vlan252
sjoc-core-c4k-1	10.112.8.95	5838.791d.a5e2	Vlan252
sjoc-core-c4k-2	10.112.8.95	5838.791d.a5e2	Vlan252
sjoc-core-c4k-1	10.112.8.96	5838.7924.0d7b	Vlan252
sjoc-core-c4k-2	10.112.8.96	5838.7924.0d7b	Vlan252
sjoc-core-c4k-1	10.112.8.98	5838.7921.a19b	Vlan252
sjoc-core-c4k-2	10.112.8.98	5838.7921.a19b	Vlan252
sjoc-core-c4k-1	10.112.8.99	082e.5fbc.be4f	Vlan252
sjoc-core-c4k-2	10.112.8.99	082e.5fbc.be4f	Vlan252
cdc-tel-c4k-2	10.113.232.21	4055.3903.e9c1	TenGigabitEthernet1/1
cdc-tel-c4k-2	10.113.232.22	10f3.1192.503f	TenGigabitEthernet1/1
cdc-tel-c4k-1	10.113.232.49	64a0.e73e.36c1	TenGigabitEthernet1/1
cdc-tel-c4k-1	10.113.232.50	bc16.6541.b7bf	TenGigabitEthernet1/1
sjh-core-c65-1	10.113.233.49	4055.3922.f3c1	TenGigabitEthernet5/1
sjh-core-c65-1	10.113.233.50	c40a.cbda.a000	TenGigabitEthernet5/1
smc-core-c65-1	10.113.234.13	2c54.2d45.bc02	GigabitEthernet1/24
smc-core-c65-1	10.113.234.14	001c.57b6.9c80	GigabitEthernet1/24
smc-core-c65-1	10.113.234.17	0000.0c07.ac61	Vlan997
smc-core-c65-1	10.113.234.18	001c.57b6.9c80	Vlan997
smc-core-c65-1	10.113.234.19	001c.57b6.8c80	Vlan997
smc-core-c65-1	10.113.234.20	503d.e55d.9bd4	Vlan997
smc-core-c65-1	10.113.234.21	503d.e55d.9bde	Vlan997
smc-core-c65-1	10.113.234.22	c067.af7f.3af8	Vlan997
slh-core-c4k-2	10.113.234.25	c08c.6014.7f82	GigabitEthernet1/3
slh-core-c4k-2	10.113.234.26	bc16.6541.b23f	GigabitEthernet1/3
slh-core-c4k-1	10.113.234.29	c08c.6014.7f81	GigabitEthernet1/3
slh-core-c4k-1	10.113.234.30	7cad.7448.d73f	GigabitEthernet1/3
slh-core-c4k-2	10.113.234.33	c08c.6008.7b81	GigabitEthernet1/4
slh-core-c4k-2	10.113.234.34	bc16.6541.b23f	GigabitEthernet1/4
slh-core-c4k-1	10.113.234.37	c08c.6008.7b82	GigabitEthernet1/4
slh-core-c4k-1	10.113.234.38	7cad.7448.d73f	GigabitEthernet1/4
smc-core-c65-1	10.113.234.5	2c54.2d46.2400	GigabitEthernet2/10
smc-core-c65-1	10.113.234.6	001c.57b6.9c80	GigabitEthernet2/10
sfh-core-c4k-1	10.113.235.1	7c69.f6e1.5a82	GigabitEthernet1/3
sfh-core-c4k-1	10.113.235.10	bc16.6541.6fff	GigabitEthernet1/4
sjoc-core-c4k-1	10.113.235.105	7c69.f6df.7802	GigabitEthernet1/3
sjoc-core-c4k-1	10.113.235.106	7cad.7448.d5bf	GigabitEthernet1/3
sjoc-core-c4k-2	10.113.235.109	7c69.f6df.7803	GigabitEthernet1/3
sjoc-core-c4k-2	10.113.235.110	bc16.6541.bd7f	GigabitEthernet1/3
sjoc-core-c4k-1	10.113.235.113	7c69.f6e1.5d02	GigabitEthernet1/4
sjoc-core-c4k-1	10.113.235.114	7cad.7448.d5bf	GigabitEthernet1/4
sjoc-core-c4k-2	10.113.235.117	7c69.f6e1.5d03	GigabitEthernet1/4
sjoc-core-c4k-2	10.113.235.118	bc16.6541.bd7f	GigabitEthernet1/4
sfh-core-c4k-2	10.113.235.13	7c69.f6df.7883	GigabitEthernet1/4
sfh-core-c4k-2	10.113.235.14	bc16.6541.707f	GigabitEthernet1/4
sfh-core-c4k-1	10.113.235.17	0000.0c9f.f3e6	Vlan998
sfh-core-c4k-1	10.113.235.18	bc16.6541.6fff	Vlan998
sfh-core-c4k-2	10.113.235.18	bc16.6541.6fff	Vlan998
sfh-core-c4k-1	10.113.235.19	bc16.6541.707f	Vlan998
sfh-core-c4k-2	10.113.235.19	bc16.6541.707f	Vlan998
sfh-core-c4k-1	10.113.235.2	bc16.6541.6fff	GigabitEthernet1/3
sfh-core-c4k-1	10.113.235.20	001e.bece.108e	Vlan998
sfh-core-c4k-2	10.113.235.20	001e.bece.108e	Vlan998
sfh-core-c4k-1	10.113.235.21	001f.6cc7.f068	Vlan998
sfh-core-c4k-2	10.113.235.21	001f.6cc7.f068	Vlan998
sfh-core-c4k-1	10.113.235.22	c067.af7b.df79	Vlan998
sfh-core-c4k-2	10.113.235.22	c067.af7b.df79	Vlan998
franklin-core-c4k-1	10.113.235.25	7c69.f6e1.5682	GigabitEthernet1/3
franklin-core-c4k-1	10.113.235.26	0006.f6e1.273f	GigabitEthernet1/3
franklin-core-c4k-1	10.113.235.33	7c69.f6e1.5502	GigabitEthernet1/4
franklin-core-c4k-1	10.113.235.34	0006.f6e1.273f	GigabitEthernet1/4
franklin-core-c4k-1	10.113.235.41	0006.f6e1.273f	TenGigabitEthernet6/1
franklin-core-c4k-1	10.113.235.42	b0fa.ebe5.607f	TenGigabitEthernet6/1
sfh-core-c4k-2	10.113.235.5	7c69.f6e1.5a83	GigabitEthernet1/3
sfh-core-c4k-2	10.113.235.6	bc16.6541.707f	GigabitEthernet1/3
emh-core-c4k-1	10.113.235.73	7c69.f6df.6482	GigabitEthernet1/3
emh-core-c4k-1	10.113.235.74	bc16.6541.bdbf	GigabitEthernet1/3
emh-core-c4k-2	10.113.235.77	7c69.f6df.6483	GigabitEthernet1/3
emh-core-c4k-2	10.113.235.78	bc16.6541.b2bf	GigabitEthernet1/3
emh-core-c4k-1	10.113.235.81	7c69.f6e1.5a03	GigabitEthernet1/4
emh-core-c4k-1	10.113.235.82	bc16.6541.bdbf	GigabitEthernet1/4
emh-core-c4k-2	10.113.235.85	7c69.f6e1.5a02	GigabitEthernet1/4
emh-core-c4k-2	10.113.235.86	bc16.6541.b2bf	GigabitEthernet1/4
sfh-core-c4k-1	10.113.235.9	7c69.f6df.7882	GigabitEthernet1/4
cdc-tel-c4k-1	10.113.250.25	001b.d578.7de8	Vlan358
cdc-tel-c4k-1	10.113.250.26	bc16.6541.b7bf	Vlan358
smc-core-c65-1	10.114.0.1	0000.0c9f.f114	Vlan276
smc-core-c65-1	10.114.0.103	0001.3e1a.487f	Vlan276
smc-core-c65-1	10.114.0.104	0090.7a16.654c	Vlan276
smc-core-c65-1	10.114.0.111	0090.7a15.22ed	Vlan276
smc-core-c65-1	10.114.0.113	0090.7a15.0e05	Vlan276
smc-core-c65-1	10.114.0.116	0090.7a15.0bde	Vlan276
smc-core-c65-1	10.114.0.118	0090.7a15.2313	Vlan276
smc-core-c65-1	10.114.0.119	0001.3e23.8eff	Vlan276
smc-core-c65-1	10.114.0.121	0090.7a17.bdcb	Vlan276
smc-core-c65-1	10.114.0.122	0090.7a15.2ca7	Vlan276
smc-core-c65-1	10.114.0.123	0090.7a18.0283	Vlan276
smc-core-c65-1	10.114.0.127	0001.3e1e.cc48	Vlan276
smc-core-c65-1	10.114.0.130	0090.7a14.a73f	Vlan276
smc-core-c65-1	10.114.0.131	0090.7a15.245f	Vlan276
smc-core-c65-1	10.114.0.132	0001.3e1a.49f7	Vlan276
smc-core-c65-1	10.114.0.133	0090.7a12.ff81	Vlan276
smc-core-c65-1	10.114.0.135	0090.7a15.2d11	Vlan276
smc-core-c65-1	10.114.0.137	0090.7a16.9371	Vlan276
smc-core-c65-1	10.114.0.138	0090.7a15.cbdb	Vlan276
smc-core-c65-1	10.114.0.14	0001.3e1a.4885	Vlan276
smc-core-c65-1	10.114.0.142	0090.7a15.1f82	Vlan276
smc-core-c65-1	10.114.0.143	0090.7a15.2d21	Vlan276
smc-core-c65-1	10.114.0.146	0090.7a14.abbb	Vlan276
smc-core-c65-1	10.114.0.148	0001.3e1a.454a	Vlan276
smc-core-c65-1	10.114.0.150	0001.3e1a.49e6	Vlan276
smc-core-c65-1	10.114.0.151	0001.3e1a.492c	Vlan276
smc-core-c65-1	10.114.0.153	0090.7a15.0f2c	Vlan276
smc-core-c65-1	10.114.0.157	0090.7a18.0df4	Vlan276
smc-core-c65-1	10.114.0.158	0001.3e24.75a3	Vlan276
smc-core-c65-1	10.114.0.159	0090.7a15.0bf7	Vlan276
smc-core-c65-1	10.114.0.161	0001.3e1a.47e9	Vlan276
smc-core-c65-1	10.114.0.162	0090.7a15.df86	Vlan276
smc-core-c65-1	10.114.0.163	0001.3e1a.49a4	Vlan276
smc-core-c65-1	10.114.0.164	0090.7a15.4653	Vlan276
smc-core-c65-1	10.114.0.165	0001.3e1a.49ee	Vlan276
smc-core-c65-1	10.114.0.167	0001.3e24.75a9	Vlan276
smc-core-c65-1	10.114.0.170	0001.3e1a.43c2	Vlan276
smc-core-c65-1	10.114.0.173	0090.7a15.2290	Vlan276
smc-core-c65-1	10.114.0.174	0090.7a13.42cb	Vlan276
smc-core-c65-1	10.114.0.178	0090.7a14.ea7f	Vlan276
smc-core-c65-1	10.114.0.180	0090.7a15.286e	Vlan276
smc-core-c65-1	10.114.0.182	0090.7a15.1178	Vlan276
smc-core-c65-1	10.114.0.184	0090.7a15.2b22	Vlan276
smc-core-c65-1	10.114.0.192	0090.7a15.0b6c	Vlan276
smc-core-c65-1	10.114.0.196	0001.3e1e.d04f	Vlan276
smc-core-c65-1	10.114.0.198	0001.3e1a.47cc	Vlan276
smc-core-c65-1	10.114.0.199	0090.7a16.98fd	Vlan276
smc-core-c65-1	10.114.0.2	001c.57b6.9c80	Vlan276
smc-core-c65-1	10.114.0.202	94fb.2930.6b60	Vlan276
smc-core-c65-1	10.114.0.203	0001.3e1a.4889	Vlan276
smc-core-c65-1	10.114.0.205	0090.7a17.2f59	Vlan276
smc-core-c65-1	10.114.0.206	0001.3e1a.485b	Vlan276
smc-core-c65-1	10.114.0.208	0090.7a15.279d	Vlan276
smc-core-c65-1	10.114.0.210	0090.7a17.9511	Vlan276
smc-core-c65-1	10.114.0.216	0090.7a18.1757	Vlan276
smc-core-c65-1	10.114.0.217	0090.7a18.11fd	Vlan276
smc-core-c65-1	10.114.0.218	0090.7a15.233f	Vlan276
smc-core-c65-1	10.114.0.22	0090.7a15.2454	Vlan276
smc-core-c65-1	10.114.0.222	0001.3e1d.8d38	Vlan276
smc-core-c65-1	10.114.0.223	0090.7a15.246e	Vlan276
smc-core-c65-1	10.114.0.227	0090.7a15.461b	Vlan276
smc-core-c65-1	10.114.0.229	0090.7a13.b31b	Vlan276
smc-core-c65-1	10.114.0.230	0001.3e1a.485d	Vlan276
smc-core-c65-1	10.114.0.233	0001.3e1c.782b	Vlan276
smc-core-c65-1	10.114.0.237	0090.7a15.0f3c	Vlan276
smc-core-c65-1	10.114.0.243	0090.7a15.2cb0	Vlan276
smc-core-c65-1	10.114.0.244	0090.7a15.1d9a	Vlan276
smc-core-c65-1	10.114.0.245	0090.7a18.4de0	Vlan276
smc-core-c65-1	10.114.0.249	0090.7a11.8f4d	Vlan276
smc-core-c65-1	10.114.0.25	0090.7a15.2d65	Vlan276
smc-core-c65-1	10.114.0.252	0090.7a15.14ef	Vlan276
smc-core-c65-1	10.114.0.253	0090.7a13.bdb6	Vlan276
smc-core-c65-1	10.114.0.26	0001.3e23.8ec4	Vlan276
smc-core-c65-1	10.114.0.27	0001.3e1f.a5ac	Vlan276
smc-core-c65-1	10.114.0.29	0090.7a15.1005	Vlan276
smc-core-c65-1	10.114.0.3	001c.57b6.8c80	Vlan276
smc-core-c65-1	10.114.0.30	0090.7a15.6738	Vlan276
smc-core-c65-1	10.114.0.38	0090.7a17.33fb	Vlan276
smc-core-c65-1	10.114.0.4	f4cf.e209.fa4d	Vlan276
smc-core-c65-1	10.114.0.40	0090.7a18.5b4f	Vlan276
smc-core-c65-1	10.114.0.42	0090.7a15.0f92	Vlan276
smc-core-c65-1	10.114.0.43	0090.7a13.575d	Vlan276
smc-core-c65-1	10.114.0.45	0090.7a15.2cb6	Vlan276
smc-core-c65-1	10.114.0.46	0090.7a14.6fa5	Vlan276
smc-core-c65-1	10.114.0.49	0090.7a12.b592	Vlan276
smc-core-c65-1	10.114.0.52	0090.7a15.234a	Vlan276
smc-core-c65-1	10.114.0.53	0090.7a15.0f1b	Vlan276
smc-core-c65-1	10.114.0.54	0090.7a15.22b5	Vlan276
smc-core-c65-1	10.114.0.57	0090.7a15.2858	Vlan276
smc-core-c65-1	10.114.0.58	0090.7a13.b569	Vlan276
smc-core-c65-1	10.114.0.61	0090.7a14.985d	Vlan276
smc-core-c65-1	10.114.0.64	0090.7a15.5a5d	Vlan276
smc-core-c65-1	10.114.0.65	0001.3e1a.4545	Vlan276
smc-core-c65-1	10.114.0.66	0090.7a18.78d0	Vlan276
smc-core-c65-1	10.114.0.67	0001.3e1d.1de4	Vlan276
smc-core-c65-1	10.114.0.68	0001.3e1a.4836	Vlan276
smc-core-c65-1	10.114.0.69	0090.7a14.80e7	Vlan276
smc-core-c65-1	10.114.0.71	0090.7a17.3d75	Vlan276
smc-core-c65-1	10.114.0.75	0090.7a15.bb8e	Vlan276
smc-core-c65-1	10.114.0.76	0090.7a13.b0f8	Vlan276
smc-core-c65-1	10.114.0.78	0090.7a17.6826	Vlan276
smc-core-c65-1	10.114.0.79	0090.7a15.2ddd	Vlan276
smc-core-c65-1	10.114.0.80	0090.7a17.dd2a	Vlan276
smc-core-c65-1	10.114.0.83	0090.7a15.2c6e	Vlan276
smc-core-c65-1	10.114.0.84	0090.7a14.f2fd	Vlan276
smc-core-c65-1	10.114.0.85	0090.7a13.17a1	Vlan276
smc-core-c65-1	10.114.0.86	0090.7a15.2d6d	Vlan276
smc-core-c65-1	10.114.0.88	0090.7a18.03a6	Vlan276
smc-core-c65-1	10.114.0.90	0090.7a15.3ac7	Vlan276
smc-core-c65-1	10.114.0.91	0001.3e1a.4898	Vlan276
smc-core-c65-1	10.114.0.93	0090.7a16.525f	Vlan276
smc-core-c65-1	10.114.0.95	0090.7a18.41e2	Vlan276
smc-core-c65-1	10.114.0.98	0001.3e04.ec0a	Vlan276
smc-core-c65-1	10.114.1.10	0090.7a13.a3dd	Vlan276
smc-core-c65-1	10.114.1.104	0090.7a15.2661	Vlan276
smc-core-c65-1	10.114.1.107	0090.7a15.b7cd	Vlan276
smc-core-c65-1	10.114.1.11	0001.3e1e.e469	Vlan276
smc-core-c65-1	10.114.1.111	0090.7a15.09e5	Vlan276
smc-core-c65-1	10.114.1.112	0001.3e19.04b6	Vlan276
smc-core-c65-1	10.114.1.114	0090.7a15.265c	Vlan276
smc-core-c65-1	10.114.1.119	0001.3e1a.44fa	Vlan276
smc-core-c65-1	10.114.1.120	0001.3e1a.453f	Vlan276
smc-core-c65-1	10.114.1.124	0001.3e1a.47fd	Vlan276
smc-core-c65-1	10.114.1.125	0001.3e14.7a89	Vlan276
smc-core-c65-1	10.114.1.130	0090.7a12.7a39	Vlan276
smc-core-c65-1	10.114.1.137	0090.7a15.07ef	Vlan276
smc-core-c65-1	10.114.1.138	0090.7a15.bf3c	Vlan276
smc-core-c65-1	10.114.1.140	0001.3e1a.4871	Vlan276
smc-core-c65-1	10.114.1.144	0001.3e1e.c5ba	Vlan276
smc-core-c65-1	10.114.1.148	0001.3e1a.47f8	Vlan276
smc-core-c65-1	10.114.1.149	0001.3e1a.4878	Vlan276
smc-core-c65-1	10.114.1.15	0090.7a13.cb5f	Vlan276
smc-core-c65-1	10.114.1.151	0090.7a15.265a	Vlan276
smc-core-c65-1	10.114.1.152	0001.3e1a.4870	Vlan276
smc-core-c65-1	10.114.1.154	0001.3e1e.542e	Vlan276
smc-core-c65-1	10.114.1.157	0090.7a15.2cba	Vlan276
smc-core-c65-1	10.114.1.158	0001.3e1a.49df	Vlan276
smc-core-c65-1	10.114.1.162	0090.7a14.f546	Vlan276
smc-core-c65-1	10.114.1.164	0090.7a14.9ce0	Vlan276
smc-core-c65-1	10.114.1.165	0001.3e04.cfe3	Vlan276
smc-core-c65-1	10.114.1.167	0090.7a14.f24d	Vlan276
smc-core-c65-1	10.114.1.169	0001.3e16.6ec2	Vlan276
smc-core-c65-1	10.114.1.17	0090.7a15.e8f3	Vlan276
smc-core-c65-1	10.114.1.173	0090.7a15.2167	Vlan276
smc-core-c65-1	10.114.1.176	94fb.2953.79b4	Vlan276
smc-core-c65-1	10.114.1.177	94fb.2954.c9f1	Vlan276
smc-core-c65-1	10.114.1.178	0001.3e1a.4810	Vlan276
smc-core-c65-1	10.114.1.179	94fb.2953.7571	Vlan276
smc-core-c65-1	10.114.1.180	94fb.2954.ca14	Vlan276
smc-core-c65-1	10.114.1.181	0090.7a15.2cd2	Vlan276
smc-core-c65-1	10.114.1.182	94fb.2953.765a	Vlan276
smc-core-c65-1	10.114.1.183	94fb.2954.cbfb	Vlan276
smc-core-c65-1	10.114.1.184	0090.7a15.2dbe	Vlan276
smc-core-c65-1	10.114.1.186	0090.7a15.2c83	Vlan276
smc-core-c65-1	10.114.1.188	0001.3e1a.4838	Vlan276
smc-core-c65-1	10.114.1.191	0090.7a16.0cc8	Vlan276
smc-core-c65-1	10.114.1.194	0090.7a15.e901	Vlan276
smc-core-c65-1	10.114.1.196	0001.3e1a.43c3	Vlan276
smc-core-c65-1	10.114.1.198	0090.7a16.5116	Vlan276
smc-core-c65-1	10.114.1.200	94fb.2954.c62c	Vlan276
smc-core-c65-1	10.114.1.201	94fb.2954.cf3c	Vlan276
smc-core-c65-1	10.114.1.202	94fb.2954.c900	Vlan276
smc-core-c65-1	10.114.1.203	0090.7a15.2678	Vlan276
smc-core-c65-1	10.114.1.207	94fb.2953.793c	Vlan276
smc-core-c65-1	10.114.1.208	0001.3e1a.4536	Vlan276
smc-core-c65-1	10.114.1.210	0001.3e1a.4847	Vlan276
smc-core-c65-1	10.114.1.211	0001.3e1f.a708	Vlan276
smc-core-c65-1	10.114.1.213	0090.7a15.14cf	Vlan276
